title,year
Anatomy of a Murder,1959
Sleuth,1972
Witness for the Prosecution,1957
Les diaboliques,1955
The Best Years of Our Lives,1946
Who's Afraid of Virginia Woolf?,1966
Great Expectations,1946
Umberto D.,1952
Stand by Me,1986
Into the Wild,2007
Cidade de Deus,2002
Amores perros,2000
Slumdog Millionaire,2008
Hotel Rwanda,2004
The Hustler,1961
Angry Men,1957
A Streetcar Named Desire,1951
Le scaphandre et le papillon,2007
The Grapes of Wrath,1940
Le notti di Cabiria,1957
Smultronstallet,1957
Gandhi,1982
Det sjunde inseglet,1957
The Wrestler,2008
Sweet Smell of Success,1957
Double Indemnity,1944
Apocalypse Now,1979
La battaglia di Algeri,1966
King Kong,1933
OThe Godfather: Part II,1974
Raging Bull,1980
Metropolis,1927
A Space Odyssey,1968
Star Wars,1977
City Lights,1931
Paths of Glory,1957
Braveheart,1995
Stalag 17,1953
Ran,1985
The Maltese Falcon,1941
Spartacus,1960
Gladiator,2000
The Great Dictator,1940
Taxi Driver,1976
Citizen Kane,1941
It's a Wonderful Life,1946
Le fabuleux destin d'Amelie Poulain,2001
The Lost Weekend,1945
Mystic River,2003
The Conversation,1974
Prestige,2006
Ladri di biciclette,1948
The Night of the Hunter,1955
OLa strada,1954
All About Eve,1950
Sunset Blvd.,1950
Nuovo cinema Paradiso,1988
Modern Times,1963
The Shining,1980
Big Fish,2003
The Sixth Sense,1999
Gone with the Wind,1939
Rosemary's Baby,1968
Roman Holiday,1953
The Exorcist,1973
Frankenstein,1931
The Thing,1982
Rear Window,1954
Network,1976
The Kid,1921
The Bourne Ultimatum,2007
In the Heat of the Night,1967
The Great Escape,1963
Forrest Gump,1994
My Man Godfrey,1936
The Sting,1973
Fargo,1996
The Big Lebowski,1998
Little Miss Sunshine,2006
The Hangover,2009
A Clockwork Orange,1971
Rocky,1976
Die Hard,1988
The Apartment,1960
Harold and Maude,1971
His Girl Friday,1940
Million Dollar Baby,2004
Back to the Future,1985	
The Shawshank Redemption,1994
The Two Towers,2002
The Fellowship of the Ring,2001
Blade Runner,1982	
Return of the Jedi,1983
Star Wars: Episode V The Empire Strikes Back,1980
Twelve Monkeys,1995
Annie Hall,1977
Groundhog Day,1993
Sunrise: A Song of Two Humans,1927	
Harvey,1950	
Planet of the Apes,1968
Bonnie and Clyde,1967	
Alien,1979
The Princess Bride,1987
Brief Encounter,1945	
Aliens,198
Butch Cassidy and the Sundance Kid,1969
Nosferatu eine Symphonie des Grauens,1922
Se7en,1995	
Psycho,1960
RashAmon,1950
The Silence of the Lambs,1991
Kill Bill: Vol. 2,2004	
Sin City,2005
Rope,1948  
The Lady Vanishes,1938
Strangers on a Train,1951
Rebecca,1940
Notorious,1946
Shadow of a Doubt,1943
Dial M for Murder,1954
Wo hu cang long,2000
Shichinin no samurai,1954
High Noon,1952 
The Ox-Bow Incident,1943
Unforgiven,1992  
The Wild Bunch,1969
Cool Hand Luke,1967
Amadeus,1984
Singin' in the Rain,1952
Indiana Jones and the Last Crusade,1989
There Will Be Blood,2007
Le salaire de la peur,1953
The African Queen,1951
Lawrence of Arabia,1962
The Wizard of Oz,1939
The Treasure of the Sierra Madre,1948
The Adventures of Robin Hood,1938
Touch of Evil,1958	
No Country for Old Men,2007
LAt den ratte komma in,2008
Snatch.,2000
Lock Stock and Two Smoking Barrels,1998
Leon,1994
The Big Sleep,1946
Casino,1995
L.A. Confidential,1997
Goodfellas,1990
The Matrix,1999
The Killing,1956
Reservoir Dogs,1992
Pulp Fiction,1994
Mr. Smith Goes to Washington,1939
Star Trek,2009
La vita 6 bella,1997
The Godfather,1972
Scarface,1983
The Terminator,1984
La dolce vita,1960
Changeling,2008
How I Learned to Stop Worrying and Love the Bomb,1964
Letters from Iwo Jima,2006
Brian,1979
On the Waterfront,1954
Der Untergang,2004	
Duck Soup,1933
The Curious Case of Benjamin Button,2008
It Happened One Night,1934	
Eternal Sunshine of the Spotless Mind,2004
1:11 The Green Mile,1999
The Philadelphia Story,1940
The Graduate,1967	
Good Will Hunting,1997
Ben-Hut,1959
The Bridge on the River Kwai,1957
Oldboy,2003
Bringing Up Baby,1938
Kind Hearts and Coronets,1949
Safety Last!,1923
The General,1926
The Gold Rush,1925
Magnolia,1999
Trainspotting,1996
Fight Club,1999
The Lion King,1994
American Beauty,1999
Memento,2000
Hotaru no haka,1988
Mononoke-hime,1997
Sen to Chihiro no kamikakushi,2001
Wall-E,2008
Up,2009
Ratatouille,2007
The Incredibles,2004
Finding Nemo,2003
Toy Story,1995
Requiem for a Dream,2000
The Lord of the Rings: The Return of the King,2003
V for Vendetta,2005
Donnie Darko,2001
Raiders of the Lost Ark,1981
Das Leben der Anderen,2006
The Manchurian Candidate,1962
Judgment at Nuremberg,1961
Some Like It Hot,1959
Laura,1944
Children of Men,2006
Patton,1970
Casablanca,1942
Manhattan,1979
Saving Private Ryan,1998
The Prestige,2006
Schindler's List,1993	
Das Boot,1981	
Arsenic and Old Lace,1944
Ed Wood,1994
In Bruges,2008
The Pianist,2002
One Flew Over the Cuckoo's Nest,1975
To Kill a Mockingbird,1962
Crash,2004
Gran Torino,2008
American History X,1998
Action The Dark Knight,2008
Kill Bill:Vol. 1,2003
Batman Begins,2005
Yojimbo,1961
Per qualche dollaro in piu,1965
C'era una volta it West,1968
II buono brutto cattivo.,1966
Heat,1995
El laberinto del fauno,2006
The Day the Earth Stood Still,1951
North by Northwest,1959
The Departed,2006
All Quiet on the'Western Front,1930
IGlory,1989

